family,condition,variant,seed,n_frames,adjacent_mean,adjacent_p95,endpoint_distance,changed_fraction
A,A_phase_redraw,phase_redraw_per_frame,1000,129,0.03982766311966951,0.07440960959869955,0.029027906199836473,1.0
A,A_point_count,points32,1000,129,0.029318869924819156,0.0666213196182141,0.20990860171942125,1.0
A,A_point_count,points48,1000,129,0.03032308738014479,0.07037267625801558,0.20990860171942058,1.0
B,B_pixel_noise,sigma0.10,1000,129,0.08013303514631272,0.13226914007895707,0.12605619463758805,1.0
B,B_grid_subsample,grid16x16,1000,129,0.05215321011323161,0.11411333568467323,0.06812624482735696,1.0
A,A_phase_redraw,phase_redraw_per_frame,1001,129,0.038961750154202834,0.06724461547513323,0.020760191844430252,1.0
A,A_point_count,points32,1001,129,0.032453509934107706,0.061838875915582014,0.18634170598597344,1.0
A,A_point_count,points48,1001,129,0.03335313387997601,0.06297171752362968,0.18634170598597344,1.0
B,B_pixel_noise,sigma0.10,1001,129,0.07959970441413826,0.14745883699542733,0.17630885735346022,1.0
B,B_grid_subsample,grid16x16,1001,129,0.048838070736573286,0.09385872110918357,0.0950721418527053,1.0
A,A_phase_redraw,phase_redraw_per_frame,1002,129,0.03720937512267966,0.06945403715194282,0.035500253504545276,1.0
A,A_point_count,points32,1002,129,0.03337932593564426,0.06511529330100646,0.1772381009811064,1.0
A,A_point_count,points48,1002,129,0.03102718250806815,0.06511529330100646,0.1772381009811058,1.0
B,B_pixel_noise,sigma0.10,1002,129,0.08075662701790082,0.14687835395311274,0.1314662164773419,1.0
B,B_grid_subsample,grid16x16,1002,129,0.04762819615478212,0.08897531840617429,0.09400019082021605,1.0
