run_id,family,config,z_value,seed,sigma,n_intervals,mean,std,min,median,p95,max,exact_zero,spearman_rho,spearman_p,trend_pass,ks_lag8_p,e_static_05,n_above_e_static_05,e_loo_same_sigma,n_above_e_loo,max_run_above_e_loo,e_primary,e_primary_source,n_above_e_primary,max_run_above_e_primary,cluster_p,expected_above_e_primary,binom_upper_99,exceed_pass,calibration_max,temporal_pass,verdict,note
A_static_13_sigma0_stride1,A,static_z0.5,0.5,13,0,128,0,0,0,0,0,0,true,,,true,,,0,,0,0,,not_applicable_sigma_zero,0,0,,6.4,13,true,0.0714755523180386,true,PASS,sigma = 0 exact-zero requirement
A_static_13_sigma50_stride1,A,static_z0.5,0.5,13,0.05,128,0.0376994996611026,0.0112074184012669,0.0139831709145388,0.0372233513353889,0.056136540233292,0.0829911316526556,false,-0.118774373897134,0.181768846155982,true,0.72471689223668,0.0571500093923416,6,0.0571255302870044,6,2,0.0571500093923416,pooled_static_sigma0.05_seeds11_12,6,2,0.220389805097451,6.4,13,true,0.0714755523180386,true,PASS,"stationary noise, no exceedance excess"
A_static_13_sigma100_stride1,A,static_z0.5,0.5,13,0.1,128,0.054394291624066,0.0247345379975512,0.0243723157274411,0.0496501272713941,0.0880806461194304,0.181717434607507,false,0.0107123237502289,0.904474721111253,true,0.679333205056778,,0,0.0902598202361777,6,2,0.0902598202361777,leave_one_out_static_same_sigma,6,2,0.220389805097451,6.4,13,true,0.0714755523180386,true,PASS,"stationary noise, no exceedance excess"
A_snapshot_z1.0_13_sigma0_stride1,A,snapshot_z1.0,1,13,0,128,0,0,0,0,0,0,true,,,true,,,0,,0,0,,not_applicable_sigma_zero,0,0,,6.4,13,true,0.0714755523180386,true,PASS,sigma = 0 exact-zero requirement
A_snapshot_z2.0_13_sigma0_stride1,A,snapshot_z2.0,2,13,0,128,0,0,0,0,0,0,true,,,true,,,0,,0,0,,not_applicable_sigma_zero,0,0,,6.4,13,true,0.0714755523180386,true,PASS,sigma = 0 exact-zero requirement
A_snapshot_z1.0_13_sigma50_stride1,A,snapshot_z1.0,1,13,0.05,128,0.0388583819232254,0.0120644730930816,0.0187861213394868,0.0373676085099183,0.0605918973135753,0.0768459861195931,false,0.125878567739794,0.156827878968974,true,0.828828596236816,0.0571500093923416,13,0.0571255302870044,13,1,0.0571500093923416,pooled_static_sigma0.05_seeds11_12,13,1,1,6.4,13,true,0.0714755523180386,true,PASS,"stationary noise, no exceedance excess"
A_snapshot_z2.0_13_sigma50_stride1,A,snapshot_z2.0,2,13,0.05,128,0.0399864424931807,0.0129331194068176,0.0132483672168528,0.0383459564957801,0.0654134672997849,0.0864949865743099,false,0.159706326680095,0.0717466564571766,true,0.391191888116739,0.0571500093923416,12,0.0571255302870044,12,2,0.0571500093923416,pooled_static_sigma0.05_seeds11_12,12,2,0.67816091954023,6.4,13,true,0.0714755523180386,true,PASS,"stationary noise, no exceedance excess"
A_snapshot_z1.0_13_sigma100_stride1,A,snapshot_z1.0,1,13,0.1,128,0.0566638359078548,0.0239821721012918,0.0283941880962058,0.0499158835862483,0.100362420853627,0.167016978147102,false,0.0457333821644387,0.608226412971193,true,0.574789494743776,,0,0.0902598202361777,12,2,0.0902598202361777,leave_one_out_static_same_sigma,12,2,0.67816091954023,6.4,13,true,0.0714755523180386,true,PASS,"stationary noise, no exceedance excess"
A_snapshot_z2.0_13_sigma100_stride1,A,snapshot_z2.0,2,13,0.1,128,0.0603800648836261,0.0248036389934534,0.0260782240206911,0.0533669565683794,0.106657832013748,0.14318418893081,false,-0.0521252975645486,0.55898973247322,true,0.793237315199666,,0,0.0902598202361777,19,2,0.0902598202361777,leave_one_out_static_same_sigma,19,2,0.958520739630185,6.4,13,false,0.0714755523180386,true,RESIDUAL,stationary null but exceedance count above the primary static 95th percentile exceeds the binomial 99 percent bound; configuration-dependent or seed-dependent noise scale
A_static_14_sigma0_stride1,A,static_z0.5,0.5,14,0,128,0,0,0,0,0,0,true,,,true,,,0,,0,0,,not_applicable_sigma_zero,0,0,,6.4,13,true,0.0714755523180386,true,PASS,sigma = 0 exact-zero requirement
