family,sigma,role,seed,n_frames,degree,L,R,eta,angle_valid_fraction,adjacent_mean,adjacent_p95,adjacent_max,n_above_e95,spearman_rho,spearman_p,runs_z,runs_p,cluster_p,max_run,h1_card_mean
A,0.0,calibration,1000,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,14.0
A,0.0,calibration,1001,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,14.0
A,0.0,calibration,1002,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,16.0
A,0.0,calibration,1003,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,16.0
A,0.0,calibration,1004,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,13.0
A,0.0,evaluation,1005,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,14.0
A,0.0,evaluation,1006,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,12.0
A,0.0,evaluation,1007,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,12.0
A,0.0,evaluation,1008,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,13.0
A,0.0,evaluation,1009,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,16.0
A,0.0,evaluation,1010,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,19.0
A,0.0,evaluation,1011,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,17.0
A,0.0,evaluation,1012,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,11.0
A,0.0,evaluation,1013,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,13.0
A,0.0,evaluation,1014,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,17.0
A,0.0,evaluation,1015,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,14.0
A,0.0,evaluation,1016,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,16.0
A,0.0,evaluation,1017,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,15.0
A,0.0,evaluation,1018,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,15.0
A,0.0,evaluation,1019,129,0,0.0,0.0,,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,1.0,0,14.0
A,0.05,calibration,1000,129,0,4.233257601165409,0.028621693149587513,0.006761150831385268,1.0,0.03307232500910476,0.04893163057321429,0.07006577349066925,,,,,,,,11.263565891472869
A,0.05,calibration,1001,129,0,4.837158575841183,0.04747180770548155,0.00981398624030559,1.0,0.037790301373759244,0.058513091355841665,0.07122500475875687,,,,,,,,12.44186046511628
A,0.05,calibration,1002,129,0,4.7265274352315245,0.028846097564622225,0.006103021289922805,1.0,0.036925995587746285,0.0552305989133232,0.0647493633927479,,,,,,,,12.263565891472869
A,0.05,calibration,1003,129,0,4.566123240972564,0.031951399260648494,0.006997489461945182,1.0,0.035672837820098155,0.05564149766394098,0.07074795960577174,,,,,,,,11.232558139534884
A,0.05,calibration,1004,129,0,4.827864366533312,0.0425977806922303,0.008823317611720312,1.0,0.0377176903635415,0.06263611955976534,0.08982228131390385,,,,,,,,10.968992248062015
A,0.05,evaluation,1005,129,0,4.42923385358883,0.026866761907353764,0.006065780854082633,1.0,0.03460338948116273,0.055503971982409604,0.06149688568826739,4,0.00040915301035419487,0.996342806863869,0.3895284040205915,0.6968853031647788,1.0,1,10.720930232558139
A,0.05,evaluation,1006,129,0,4.407514068801051,0.021832694984592657,0.0049535167996710835,1.0,0.03443370366250821,0.049181731164843825,0.05971010063085652,2,0.09274884621915315,0.2977427781896111,0.2071012197727014,0.8359308095085454,1.0,1,10.75968992248062
A,0.05,evaluation,1007,129,0,4.7339220430473095,0.03436765871050222,0.007259870018556358,1.0,0.036983765961307105,0.06389902667922762,0.0904885174794045,11,-0.017161512204543455,0.8475308498580151,-1.7875262777410772,0.07385246886894695,0.5982008995502249,2,11.255813953488373
A,0.05,evaluation,1008,129,0,4.677240527217428,0.031764491515869964,0.0067912888659517395,1.0,0.03654094161888616,0.05819112239150265,0.07217755343239823,8,-0.08716078665887803,0.3279252117559919,-2.3329931724840396,0.019648503658559593,0.3708145927036482,2,11.131782945736434
A,0.05,evaluation,1009,129,0,4.724702740629022,0.023073229556804575,0.004883530419467771,1.0,0.03691174016116423,0.057968326907399156,0.07340509408986207,7,0.13226476988083755,0.13667908237063242,-1.0932169723931129,0.2742985468261493,0.28385807096451776,2,12.2015503875969
A,0.05,evaluation,1010,129,0,4.859848823041017,0.02714267192012619,0.005585085649463032,1.0,0.037967568930007946,0.055907933738822635,0.08822323364258167,6,-0.05563328497918355,0.5328064672402159,-3.5455267759680016,0.00039182917696234273,0.22038980509745126,2,11.86046511627907
A,0.05,evaluation,1011,129,0,4.817659873934037,0.04996822200273843,0.010371886623439658,1.0,0.037637967765109664,0.05748811646705699,0.10758326823288006,8,0.08544108221937373,0.3375951476557195,-2.3329931724840396,0.019648503658559593,0.3708145927036482,2,11.767441860465116
A,0.05,evaluation,1012,129,0,4.693834041725873,0.04212214111195049,0.008973930636981495,1.0,0.036670578450983385,0.05419762589143192,0.08931671484818943,5,-0.07737250503570774,0.3853477706193466,-1.9940026349522408,0.046151766561589674,0.1489255372313843,2,10.953488372093023
