family,seed,sigma,warp,L_master,L_resampled,L_resampled_over_master,R_master,R_resampled,eta_master,eta_resampled,n_master_states,n_resampled_states,n_duplicate_frames_dropped,n_preserved_angle_triples,max_preserved_angle_deviation,fresh_step_checks,fresh_step_max_deviation,fresh_step_all_exact,exact_same_states_invariance,exact_resampled_shortcut_checks,kept_z_first,kept_z_last
A,1000,0.0,u_pow_1p5,2.30155980419509,2.153901717453894,0.935844340663207,0.47022913864666177,0.47022913864666177,0.20430889425057194,0.21831503955645434,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1000,0.0,piecewise_fast_slow,2.30155980419509,2.0188033529643823,0.877145729293967,0.47022913864666177,0.47022913864666177,0.20430889425057194,0.23292468677357006,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1001,0.0,u_pow_1p5,2.3027478748095107,2.253226256906924,0.9784945549426755,0.49008660229069445,0.49008660229069445,0.21282686118263627,0.21750438988912374,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1001,0.0,piecewise_fast_slow,2.3027478748095107,1.923293790686603,0.8352168345158946,0.49008660229069445,0.49008660229069445,0.21282686118263627,0.25481629726248783,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1002,0.0,u_pow_1p5,2.0032083195049357,1.9461972898369357,0.9715401393290491,0.49326905924692094,0.49326905924692094,0.2462395220926525,0.2534527521042073,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1002,0.0,piecewise_fast_slow,2.0032083195049357,1.7732455385247148,0.8852027626177925,0.49326905924692094,0.49326905924692094,0.2462395220926525,0.27817301582346315,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1003,0.0,u_pow_1p5,1.932895737536963,1.8388717567086148,0.9513558962325819,0.4539464732765409,0.4539464732765409,0.23485305723473354,0.2468614092420762,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1003,0.0,piecewise_fast_slow,1.932895737536963,1.5962427073636831,0.8258297001563738,0.4539464732765409,0.4539464732765409,0.23485305723473354,0.2843843678548535,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1004,0.0,u_pow_1p5,2.1296671622463617,2.0773327218662967,0.9754260002183333,0.568923948365922,0.568923948365922,0.26714218937658973,0.27387232790267463,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1004,0.0,piecewise_fast_slow,2.1296671622463617,1.7264918066142234,0.8106862129541074,0.568923948365922,0.568923948365922,0.26714218937658973,0.329526005386393,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1005,0.0,u_pow_1p5,2.230181676013566,2.1696248989471307,0.972846706742439,0.40330345359356884,0.40330345359356884,0.18083883386328908,0.1858862579376199,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1005,0.0,piecewise_fast_slow,2.230181676013566,1.8879013935600995,0.8465235876813004,0.40330345359356884,0.40330345359356884,0.18083883386328908,0.21362527458758934,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1006,0.0,u_pow_1p5,2.286144865159436,2.2542554646985566,0.9860510149873397,0.597835774007307,0.597835774007307,0.2615038894158678,0.2652032049469827,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1006,0.0,piecewise_fast_slow,2.286144865159436,1.9845915197610875,0.8680952594063552,0.597835774007307,0.597835774007307,0.2615038894158678,0.30123870229944183,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1007,0.0,u_pow_1p5,2.07023310697378,2.0056872388812623,0.9688219322379259,0.4269282173872763,0.4269282173872763,0.20622229252789331,0.21285881921720232,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1007,0.0,piecewise_fast_slow,2.07023310697378,1.7742014311372087,0.8570056314724366,0.4269282173872763,0.4269282173872763,0.20622229252789331,0.2406311988563939,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1008,0.0,u_pow_1p5,2.2980782614241093,2.207103295360357,0.9604125901232905,0.4309354903383318,0.4309354903383318,0.1875199367976628,0.19524935296151252,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1008,0.0,piecewise_fast_slow,2.2980782614241093,2.094560413667327,0.9114399839321995,0.4309354903383318,0.4309354903383318,0.1875199367976628,0.20574030117556497,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1009,0.0,u_pow_1p5,1.9567442538322228,1.8945620094426845,0.968221578130225,0.4267029075390723,0.4267029075390723,0.21806779639362064,0.22522509446106426,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1009,0.0,piecewise_fast_slow,1.9567442538322228,1.5953271656894026,0.8152967167605086,0.4267029075390723,0.4267029075390723,0.21806779639362064,0.26747047045655836,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1000,0.05,u_pow_1p5,5.946622783814102,4.847890805327558,0.8152342903812323,0.425557569984128,0.425557569984128,0.07156289972561196,0.08778200398335381,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1000,0.05,piecewise_fast_slow,5.946622783814102,4.815928749746186,0.809859465586835,0.425557569984128,0.425557569984128,0.07156289972561196,0.08836459011287412,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1001,0.05,u_pow_1p5,6.45905819801928,5.4017183911452715,0.8363012416890361,0.48932485545249815,0.48932485545249815,0.0757579263804363,0.09058688736062591,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
A,1001,0.05,piecewise_fast_slow,6.45905819801928,5.122368671083553,0.7930519456620421,0.48932485545249815,0.48932485545249815,0.0757579263804363,0.09552706704123065,129,97,32,63,0.0,22,0.0,true,true,true,0.5,3.0
A,1002,0.05,u_pow_1p5,6.724621805653657,5.534487460223802,0.8230183971938375,0.47471274101032673,0.47471274101032673,0.07059322512549582,0.08577356881230162,129,110,19,70,0.0,22,0.0,true,true,true,0.5,3.0
